index	track_id	track_name	track_artist	track_popularity	track_album_id	track_album_name	track_album_release_date	playlist_name	playlist_id	playlist_genre	playlist_subgenre	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	language
2317	0ZMd5tkIxm8XkFEwWn5Ftv	They Don't Make Em Like Me	Pigeon John	51	1JKYzUghvDyrEld48j7toS	They Don't Make Em Like Me	2019-11-22	2015 songs	6UJw1egIcZVfrBmcKs5uHH	edm	pop edm	0.753	0.86	5	-4.473	1	0.0582	0.20600000000000002	0.0	0.22899999999999998	0.7659999999999999	119.90299999999999	209493	en
2318	0ZMv9b2ipW2NicJE6mHrii	Perfect - Acoustic Version	Simple Plan	45	6RSpKXfvVzCqtLi6VySxsU	Still Not Getting Any	2004-10-26	Unplugged Hits 📣	5NTm3injIRkUMROsZr3C2O	latin	latin pop	0.57	0.419	3	-7.622999999999997	1	0.0253	0.067	0.0	0.10099999999999999	0.3670000000000001	156.18200000000004	247387	en
2319	0zMxL4BTjSqCsUtfdlcL8G	Tiimmy Turner	Desiigner	4	7egFYhw2ozNWDfQm0P97ez	Tiimmy Turner	2016-07-22	BALLARE - رقص	1CMvQ4Yr5DlYvYzI0Vc2UE	pop	post-teen pop	0.602	0.723	6	-3.0210000000000004	1	0.0405	0.168	0.0	0.0781	0.293	122.81200000000001	239853	en
2320	0ZN72tCEgbwPXEtj6TPMxK	Still Ballin (feat. Wiz Khalifa)	Logic	10	6GeHCNwwqMMUrpxuGTRYcf	Confessions of a Dangerous Mind	2019-05-10	This Is Logic	37i9dQZF1DWTIuAboZgTMf	rap	hip hop	0.79	0.677	7	-5.27	1	0.10400000000000001	0.0151	1.06e-05	0.16899999999999998	0.75	160.001	239987	en
2321	0ZNkenDGP8wVlnEwfiBJYO	Fireproof - Embody Remix	Coleman Hell	44	1zXqUomsQOpXwrfqIts29c	Fireproof (Embody Remix)	2016-08-05	Tropical House	37i9dQZF1DX0AMssoUKCz7	latin	tropical	0.7040000000000001	0.8190000000000001	8	-4.2410000000000005	1	0.22699999999999998	0.0132	0.000334	0.11	0.644	119.006	184133	en
2322	0zO8ctW0UiuOefR87OeJOZ	Collard Greens	ScHoolboy Q	72	7Et3bSTLLqdABO1qCxUplS	Oxymoron (Deluxe)	2014-01-01	Southern California Hip Hop Primer	206vi9Q0p3juAU73flxPsz	rap	southern hip hop	0.825	0.575	11	-4.87	1	0.0633	0.025	9.94e-06	0.205	0.65	153.954	299960	en
2323	0zoKeqw3hbI9156qhmZ2CD	Rock Candy - Remastered LP Verison	Montrose	14	6eGLvyPfn5dQ6scbvm0UCu	The Very Best Of Montrose	2000	70s Hard Rock	6pZlZ20vt3aDjIKw98aBtQ	rock	hard rock	0.27399999999999997	0.7440000000000001	9	-5.977	1	0.0358	0.0017399999999999998	0.00231	0.0864	0.7609999999999999	158.628	305827	en
2324	0zp6Jw3BSnV1kJMVcJY6As	Fkn Face	The Bloody Beetroots	35	1PDBZG9XClqNODe9S0I79n	Heavy	2019-06-21	Nasty Bits	37i9dQZF1DX2VvACCrgjrt	edm	electro house	0.637	0.904	10	-3.687	1	0.0432	0.00162	0.787	0.0941	0.397	128.011	301076	en
2326	0zPlMUMeYe9GoqN8mzaFst	The Seeker - Edit	The Who	0	5pBO9xsL7NiVetrl4bU3A5	My Generation - The Very Best Of The Who	1996-08-27	Classic Hard Rock	1gAeQGQ7hr2q7IYmaejDW6	rock	hard rock	0.45	0.768	2	-6.847	1	0.0296	0.185	1.53e-06	0.293	0.6759999999999999	89.56700000000002	204773	en
2329	0zRpsXMbE1oBv58A22BhKN	I Must Be High	South Park Mexican	13	062AwdcinoKIdI7N5CFUUI	Never Change	2001	3rd Coast Classics	1QJ66s6YBZgxMUaVUyrhbo	rap	southern hip hop	0.812	0.625	7	-5.5429999999999975	1	0.133	0.0385	0.0	0.0714	0.301	81.018	284400	en
2330	0ZSmRnXnP5fdANtVlCok1g	Look What You've Done	Jet	61	6NrLpQCPYrNS3kVWxDgIlg	Get Born	2003-09-15	L' ALBUM ROCK	0jilq2XZP9F2fwzp2k6iXK	rock	album rock	0.39799999999999996	0.547	0	-6.846	1	0.0261	0.414	0.00143	0.146	0.305	73.396	230880	en
2332	0ZU0XSkAUFqHxiXDMU5FzB	How Long Will They Mourn Me?	Thug Life	52	29STRG7wIt5L41sGuCMeyJ	Thug Life: Volume 1	1994-01-01	Minitruckin Playlist	0VVH2Nzj6kBVGK3WIUQMAw	rap	southern hip hop	0.81	0.613	1	-7.502999999999999	1	0.113	0.0624	0.0	0.353	0.45	87.042	232947	en
2333	0zvbi1Z6zOj6FmpMssdVY4	Ill Mind Of Hopsin 8	Hopsin	0	3IbO0lpV2lzQ5QwOsjFNLk	Ill Mind Of Hopsin 8 - Single	2016-03-08	Urban/Trap - Contemporary RAP	5CK0fshHcik1vWyeCc0zat	r&b	urban contemporary	0.76	0.784	5	-4.87	0	0.331	0.397	0.0	0.052000000000000005	0.708	126.941	390005	en
2334	0zx2Dq4YeAAjKcbPSS2DaQ	Retaliate	VNV Nation	31	3hAZztS27bPvpEH8XPEPMR	Transnational	2013-10-04	Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop	53CmFroG6MWR5reOOXJX6B	pop	electropop	0.5720000000000001	0.9279999999999999	11	-5.141	0	0.0651	0.000202	0.722	0.155	0.479	119.98899999999999	282827	en
2335	0Zxswuv5xzIhxDnsKJLq82	Mercy	Shawn Mendes	9	5yYFrOnqG8cEciKnsxHz2r	Illuminate (Deluxe)	2017-04-20	Electropop - Pop	5TiiHps0hNCyQ6ijVkNZQs	pop	electropop	0.561	0.674	4	-4.882	0	0.0818	0.11800000000000001	0.0	0.111	0.38299999999999995	148.127	208733	en
2337	0ZYf6N5eBeXStMri0mf3DZ	Voices Carry	'Til Tuesday	54	1y4s0JN8CQMRwPTJ64jCUp	Voices Carry (Expanded Edition)	1985-06-01	Permanent Wave CHDB	2foj4ZYVHRGqSd1aMqNPBj	rock	permanent wave	0.583	0.574	0	-9.044	1	0.0239	0.0282	2.14e-06	0.114	0.578	104.995	263573	en
2338	0ZYFdEG7MAajh3RSczkL38	How Hard I Try (feat. James Hersey) - RAC Mix	filous	25	7r1OJtMtOtM39y9SKNBflU	How Hard I Try (feat. James Hersey) [Remixes]	2015-09-18	Tropical Morning	0vbtbmyihyvl2MVYrdKdGw	latin	tropical	0.655	0.6890000000000001	5	-6.169	1	0.0488	0.32799999999999996	0.0026100000000000003	0.0777	0.364	120.045	220387	en
2339	0zyyaMpWRZNSx2GqAMFKX3	Can I Change My Mind	Tyrone Davis	38	3WcptYwEwFcxhnhci37i3L	Can I Change My Mind	1969	Southern Soul BBQ Mix	3nTS97zUqxJBQeiXNRs963	rap	southern hip hop	0.545	0.669	1	-6.239	0	0.0456	0.314	0.0	0.0553	0.8859999999999999	102.041	177733	en
2340	0Zze3tFRSNwL6KllmYjLgZ	Anywhere	112	53	2a9zJQA2ttMax51gVplZ2w	Room 112	1998	90s R&B - The BET Planet Groove/Midnight Love Mix	7LjRWGUdOmBdPG1W1bga4i	r&b	new jack swing	0.5920000000000001	0.499	5	-7.806	1	0.27699999999999997	0.174	0.0	0.122	0.863	125.824	244416	en
2341	1000nHvUdawXuUHgBod4Wv	Panini	Lil Nas X	79	71BrrQxz8mZAneNSDE9Lov	Panini	2019-09-13	Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop	46Cl6dmeiylK6TRGXr7hHe	pop	post-teen pop	0.703	0.594	5	-6.146	0	0.0752	0.342	0.0	0.12300000000000001	0.475	153.84799999999996	114893	en
2344	107Jwc012wRPAvjI7WKCPI	Welcome To The Machine - 2011 Remastered Version	Pink Floyd	2	1x0uzT3ETlIYjPueTyNfnQ	Wish You Were Here [2011 - Remaster] (2011 Remastered Version)	1975-09-12	Classic Rock Greatest Hits	6TeyryiZ2UEf3CbLXyztFA	rock	classic rock	0.382	0.36	0	-12.442	1	0.0365	0.52	0.171	0.0747	0.0362	133.273	451681	en
2345	108azuTlbkrLiuaRMQu2nF	Vultures	Bokassa	40	2MAwkcp9T7pTSm1nsTXwN0	Crimson Riders	2019-06-21	Hard Rock	37i9dQZF1DX1X7WV84927n	rock	hard rock	0.547	0.841	10	-4.959	1	0.0605	0.0017100000000000001	0.0202	0.314	0.5539999999999999	124.93	165055	en
2346	108r6pnZHStBIktpyyps9w	TIME	Alesso	64	3d0kltye1eEt6vbHZJSJVE	ALESSO MIXTAPE - PROGRESSO VOLUME 1	2019-03-08	Dance Pop	37i9dQZF1DWZQaaqNMbbXa	pop	dance pop	0.768	0.8079999999999999	5	-1.818	1	0.11199999999999999	0.00627	5.33e-06	0.34299999999999997	0.664	119.971	166000	en
2347	108wABClmebQtFnxfliTiO	Drivin'	Mr. Probz	31	5V1NzCfuXKcDXrTpnKAHwk	Drivin'	2010-09-23	Urban/Trap - Contemporary RAP	5CK0fshHcik1vWyeCc0zat	r&b	urban contemporary	0.7070000000000001	0.4270000000000001	2	-8.684	0	0.0936	0.000677	0.0012900000000000001	0.111	0.7190000000000001	80.035	196693	en
2348	10ASBwZsp7oUUDsJEYz3uS	Dance With The Devil	Breaking Benjamin	65	6yJdQMlMkfYJFiSsL6764c	Phobia (Explicit Version)	2006-01-01	Hard Rock Workout	3YouF0u7waJnolytf9JCXf	rock	hard rock	0.345	0.929	3	-4.468999999999999	0	0.142	0.00015	0.00106	0.129	0.18100000000000002	155.041	227107	en
2349	10AsRVRdU07cMAFHeGYO3c	Solo Dance	Martin Jensen	71	4vkos5hVH9qLK75m3bOjdp	Solo Dance	2016-11-04	Tropical House 2020	2oivDYqm1dQK4KbwVJTaf6	latin	tropical	0.746	0.846	9	-2.432	1	0.048	0.0485	0.0	0.195	0.40299999999999997	114.955	174933	en
2350	10b7RJ4vWHQFxpTikfsf6A	The Search Is Over	Survivor	31	3jITVhLuMmIAnVpW7jCpk2	The Best Of Survivor	2006	80s Pop & Rock Hits and Album Tracks	0XOIK4m26aeYSD61E5nSVW	rock	album rock	0.514	0.38	3	-10.618	1	0.0311	0.5489999999999999	0.0	0.0836	0.175	124.053	253187	en
2352	10BQIOZ8dhGwOOGBVA97qz	Always The Sun - Sunny Side Up Mix	The Stranglers	50	6vaA6gtaY9kZJT97F2v4zP	10	1990-03-14	Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)	2nRWtTI9a2LWjJ9Wy3JZs5	pop	electropop	0.561	0.868	2	-4.146	1	0.0464	0.00585	0.0275	0.105	0.795	133.362	243053	en
2353	10fddGyyeUquZZ2uPTjD7P	Better Than Me	Hinder	61	2SmDuZSWtjukp9gkG2mcBQ	Extreme Behavior	2005-01-01	Permanent Wave	2ExyzXAbukW7I8bDqdGvPB	rock	permanent wave	0.449	0.682	2	-5.295	0	0.028999999999999998	0.205	0.0	0.175	0.254	139.924	223533	en
2355	10GJQkjRJcZhGTLagFOC62	Most Girls	Hailee Steinfeld	76	4w5LxfyoOPHkGJZrco1UT5	Most Girls	2017-04-28	Post pop teen	222nc9tKxKhfZ2GBrOpwH3	pop	post-teen pop	0.7559999999999999	0.5720000000000001	9	-7.019	1	0.0763	0.0478	0.0	0.0853	0.41700000000000004	102.986	204400	en
2356	10I3CmmwT0BkOVhduDy53o	Really Really	Kevin Gates	70	5Hs43ta4vAYKRRRR7DKjt9	Islah (Deluxe)	2016-01-29	HIP&HOP	5DyJsJZOpMJh34WvUrQzMV	rap	southern hip hop	0.762	0.6659999999999999	0	-6.055	1	0.0916	0.00427	0.0	0.127	0.278	118.97	232093	en
2357	10IBstzGdLMMwtxTiefXtm	Can't Knock The Hustle	JAY-Z	0	5wx5RTvtRkEq7mw8E7RdEr	Reasonable Doubt	1996-06-25	90s Hiphop / Gangsta Rap	5yGuoOwRQF3o8NVRRlvCj7	rap	gangster rap	0.8340000000000001	0.354	7	-12.42	1	0.461	0.203	0.0	0.0737	0.5870000000000001	94.89399999999999	317133	en
2358	10igKaIKsSB6ZnWxPxPvKO	Nothing Else Matters	Metallica	69	6QdCohkHKNTVoaSx1ZzitH	Metallica	1991-08-12	Rock Classics	37i9dQZF1DWXRqgorJj26U	rock	classic rock	0.5579999999999999	0.364	4	-11.258	0	0.0265	0.0505	5.02e-06	0.0753	0.17	142.171	388733	en
2359	10Igtw8bSDyyFs7KIsKngZ	Freaky Friday (feat. Chris Brown)	Lil Dicky	77	1XbNDGybI1iPfeQNJEeUdn	Freaky Friday (feat. Chris Brown)	2018-03-15	Hip Hop Controller	37i9dQZF1DWT5MrZnPU1zD	rap	hip hop	0.755	0.599	8	-5.042	1	0.22399999999999998	0.147	0.0	0.109	0.755	133.123	216632	en
2360	10kmdx4OFs3OHwGa1CfYOF	We Are The Champions	Queen	0	66yArVefBpmTdg07XoqRWw	We Will Rock You	1992	70s Pop & Rock Hits and Deep Tracks	1uKFRCQYci8kVgMy3xzTVH	rock	album rock	0.281	0.312	10	-14.575999999999999	1	0.033	0.45	1.26e-06	0.0949	0.221	90.14299999999999	180800	en
2361	10L4K7607BSC5aq8lc2leC	Black Or White	Michael Jackson	0	17rMrtfUIKzVNOHdyiJpzR	Dangerous	1991-11-13	New Jack Swing	3ykXidKLz1eYPvuGoFlD1e	r&b	new jack swing	0.518	0.9	9	-3.748	1	0.0933	0.172	0.0315	0.0713	0.872	115.029	254933	en
2362	10LRRKPmx8uHcSxLVWK0ct	Tonight's the Night (Gonna Be Alright) - 2009 Remaster	Rod Stewart	55	7nge8Pafna5rU1a0ek7dKN	A Night on the Town (Deluxe Edition)	1976	Soft Rock Drive	37i9dQZF1DX6TIU4D13lOY	rock	classic rock	0.55	0.514	11	-12.617	1	0.0523	0.336	0.125	0.382	0.7240000000000001	136.542	237120	en
2363	10LsIFdrT9iJrFelDP1EYW	Ignite (feat. SEUNGRI) - Different Heaven Remix	K-391	31	3uJfYInSfedi08kTGN85GL	Ignite (feat. SEUNGRI) [Remixes]	2018-07-06	New House   ‍	54XvQQsViMBwjO1ws2o2wx	edm	electro house	0.7040000000000001	0.8009999999999999	8	-5.655	0	0.161	0.22699999999999998	0.0	0.17	0.522	100.00399999999999	191440	en
2364	10LWVafpsc00GjdXTQqITk	I Shot The Sheriff	Eric Clapton	21	64hcdH7h8noDQg9Zr5COkc	The Cream Of Clapton	1995-03-07	80s / Classic Rock	29dTrOurPDrMcrnio2q6hZ	rock	classic rock	0.7240000000000001	0.578	7	-13.588	1	0.0509	0.111	0.00324	0.122	0.664	94.46600000000001	263427	en
2365	10M2Ex445zw585Ducldzkw	In Case You Didn't Know	Brett Young	73	6MTPPsqX8KnmDWmnQmbxJ5	Brett Young	2017-02-10	School Dance 2019 (Squeaky Clean)	0SqaMfNsngZCpPw0UuelA7	latin	latin hip hop	0.607	0.536	10	-7.306	1	0.0305	0.386	0.0	0.102	0.434	147.986	224853	en
2366	10Nmj3JCNoMeBQ87uw5j8k	Dani California	Red Hot Chili Peppers	76	7xl50xr9NDkd3i2kBbzsNZ	Stadium Arcadium	2006-05-09	Permanent Wave	2ExyzXAbukW7I8bDqdGvPB	rock	permanent wave	0.556	0.9129999999999999	0	-2.36	1	0.0437	0.0193	8.59e-06	0.34600000000000003	0.73	96.184	282160	en
2367	10pcZvQ4QTKeHRvTUAeHVD	Love Will Keep Us Together	Captain & Tennille	48	6ezk9jUCncL6Dx7fdO7JfB	Scrapbook	1999-01-01	70's Classic Rock	76lrxCrKrGDkDDf3SVPnl3	rock	classic rock	0.6809999999999999	0.5539999999999999	4	-10.333	1	0.0343	0.47600000000000003	0.0	0.16699999999999998	0.9329999999999999	129.58700000000002	203600	en
2368	10qlTaZXfdAkUfsp5dcpcd	Kick Ass	Egypt Central	45	4PxGmfCR6Z7sQsRchtrY45	White Rabbit	2011-12-22	Hard Rock Workout!	5nQrMpkyWmxPX0gk74htMk	rock	hard rock	0.547	0.9079999999999999	8	-5.4460000000000015	0	0.0476	0.00020899999999999998	2.69e-06	0.32299999999999995	0.594	95.008	198947	en
2370	10qPhu2ekexZziM2uztYL4	We'll Be Ok	Afrojack	0	7eIdlHTVcGUhf6WGGffQES	Forget The World (Deluxe)	2014-01-01	Electrónica, Progressive House, Electro House y más 🎧	0o5gKmuET7F3lQnpFxvPO8	edm	progressive electro house	0.606	0.925	8	-4.261	0	0.0483	0.262	8.75e-05	0.11599999999999999	0.316	128.013	319685	en
2371	10qruR2WKhxzAOPnPsu6n0	Flight Of The Snow Goose - Instrumental Album Version	Camel	0	6H5RUv1Byx1CquzP7utSTl	The Snow Goose (Deluxe Edition)	2009-01-01	Progressive Rock / Metal - Rock /Metal  Progresivo	7GhTpb4eOp6403Bmgqz3db	rock	album rock	0.294	0.47200000000000003	2	-12.436	1	0.0369	0.474	0.802	0.10800000000000001	0.28	135.414	161293	en
2372	10rChmECwPcvTTj4w07hq4	Welcome to My Life	Simple Plan	68	6RSpKXfvVzCqtLi6VySxsU	Still Not Getting Any	2004-10-26	L' ALBUM ROCK	0jilq2XZP9F2fwzp2k6iXK	rock	album rock	0.42100000000000004	0.858	1	-4.535	1	0.0963	0.0134	0.0	0.067	0.491	173.255	206773	en
